Time[s]	Pressure[Mpa]
0.438054401	4.308851021
0.439458859	4.306451808
0.440863737	4.304045436
0.442269037	4.301631913
0.44367476	4.299211245
0.445080909	4.296783437
0.446487485	4.294348497
0.447894489	4.291906431
0.449301923	4.289457244
0.450709789	4.287000945
0.452118088	4.284537538
0.453526822	4.282067032
0.454935993	4.279589432
0.456345602	4.277104744
0.45775565	4.274612976
0.459166141	4.272114134
0.460577074	4.269608225
0.461988453	4.267095256
0.463400277	4.264575232
0.46481255	4.262048161
0.466225273	4.25951405
0.467638447	4.256972905
0.469052074	4.254424733
0.470466156	4.251869541
0.471880695	4.249307335
0.473295691	4.246738123
0.474711148	4.244161912
0.476127066	4.241578708
0.477543447	4.238988518
0.478960292	4.236391349
0.480377605	4.233787208
0.481795385	4.231176102
0.483213636	4.228558039
0.484632358	4.225933024
0.486051553	4.223301066
0.487471224	4.220662171
0.488891371	4.218016346
0.490311996	4.215363598
0.491733102	4.212703936
0.49315469	4.210037365
0.494576761	4.207363893
0.495999317	4.204683527
0.49742236	4.201996274
0.498845892	4.199302142
0.500269915	4.196601138
0.50169443	4.193893269
0.503119438	4.191178543
0.504544943	4.188456967
0.505970945	4.185728548
0.507397445	4.182993293
0.508824447	4.180251211
0.510251952	4.177502308
0.511679961	4.174746593
0.513108476	4.171984071
0.514537499	4.169214752
0.515967032	4.166438642
0.517397076	4.163655749
0.518827634	4.160866081
0.520258706	4.158069645
0.521690295	4.155266449
0.523122403	4.152456501
0.524555032	4.149639808
0.525988182	4.146816377
0.527421856	4.143986217
0.528856057	4.141149336
0.530290784	4.138305741
0.531726041	4.135455439
0.53316183	4.13259844
0.534598151	4.129734749
0.536035007	4.126864377
0.537472399	4.123987329
0.53891033	4.121103615
0.540348802	4.118213242
0.541787815	4.115316218
0.543227372	4.11241255
0.544667475	4.109502248
0.546108126	4.106585319
0.547549326	4.103661772
0.548991077	4.100731613
0.550433381	4.097794851
0.551876241	4.094851495
0.553319657	4.091901553
0.554763632	4.088945032
0.556208167	4.085981941
0.557653265	4.083012288
0.559098927	4.080036081
0.560545155	4.077053329
0.561991951	4.07406404
0.563439317	4.071068222
0.564887255	4.068065883
0.566335767	4.065057032
0.567784854	4.062041677
0.569234519	4.059019827
0.570684764	4.05599149
0.572135589	4.052956674
0.573586998	4.049915388
0.575038992	4.046867641
0.576491573	4.04381344
0.577944742	4.040752795
0.579398503	4.037685714
0.580852857	4.034612205
0.582307805	4.031532278
0.58376335	4.028445941
0.585219494	4.025353202
0.586676238	4.02225407
0.588133585	4.019148554
0.589591536	4.016036663
0.591050094	4.012918405
0.59250926	4.009793789
0.593969037	4.006662824
0.595429426	4.003525519
0.596890429	4.000381882
0.598352049	3.997231923
